Kecamatan;Sekolah Negeri;Sekolah Swasta;Akreditasi A;Akreditasi B;Akreditasi C;Tidak Terakreditasi
Banjarwangi;-;52;;4;9;39
Banyuresmi;-;100;1;16;10;73
Bayongbong;-;88;1;10;8;69
Bl.Limbangan;-;77;-;8;9;60
Bungbulang;-;123;-;10;22;91
Caringin;-;60;-;-;8;52
Cibalong;-;36;-;5;11;20
Cibatu;-;76;2;13;16;45
Cibiuk;-;43;-;7;16;20
Cigedug;-;40;-;2;15;23
Cihurip;-;34;-;-;0;34
Cikajang;-;73;3;8;8;54
Cikelet;1;56;-;-;3;54
Cilawu;-;101;2;17;22;60
Cisewu;-;74;-;5;9;60
Cisompet;-;50;1;6;18;25
Cisurupan;-;90;4;14;21;51
Garut kota;-;78;16;12;8;42
Kadungora;-;58;-;17;6;35
Karangpawitan;-;112;2;15;19;76
Karangtengah;-;33;1;3;6;23
Kersamanah;-;41;-;8;12;21
Leles;-;49;2;16;10;21
Leuwigoong;-;38;-;4;15;19
Malangbong;-;100;-;15;23;62
Mekarmukti;-;52;-;1;9;42
Pakenjeng;-;115;-;3;6;106
Pameungpeuk;-;43;-;9;12;22
Pamulihan;1;20;-;4;1;16
Pangatikan;-;41;-;7;13;21
Pasirwangi;-;60;2;5;12;41
Peundeuy;-;55;-;3;8;44
Samarang;-;75;3;10;6;56
Selaawi;-;52;-;5;16;31
Singajaya;-;47;-;2;4;41
Sucinaraja;-;32;-;11;11;10
Sukaresmi;-;38;-;7;5;26
Sukawening;-;67;1;26;25;15
Talegong;-;38;-;2;12;24
Tarogong Kaler;-;90;4;26;8;52
Tarogong Kidul;1;119;8;24;32;56
Wanaraja;-;37;1;4;9;23
